Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot26,"lualeet",hard,19,Completed,"Big Sale","Zone place_SALE_03_DINO","1","22:30:29","22:38:56",
Bot26,"lualeet",hard,19,Completed,"Big Sale","Zone place_SALE_03_TREND","1","22:39:01","22:40:52",
Bot26,"lualeet",hard,19,Completed,"Big Sale","Zone place_SALE_03_KOSTIN","1","22:40:57","22:41:24",
Bot26,"lualeet",hard,19,Completed,"Big Sale","Zone place_SALE_03_AVOKADO","1","22:41:29","22:43:58",
Bot26,"lualeet",hard,19,Failed,"Database - Part 2","Item OLI cargo route documents","1","22:44:03","22:45:26",
Bot26,"lualeet",hard,19,Failed,"Big Sale","Zone place_SALE_03_TOPBRAND","1","22:45:31","22:46:25",
Bot28,"InternalError_",hard,4,Archived,"Railway Area","Railway Area: Objective #1","1","22:30:30","22:32:29",
Bot28,"InternalError_",hard,4,Archived,"Railway Area","Railway Area: Objective #2","1","22:32:34","22:32:47",
Bot28,"InternalError_",hard,4,Archived,"Railway Area","Railway Area: Objective #3","1","22:32:52","22:33:03",
Bot28,"InternalError_",hard,4,Archived,"Railway Area","Railway Area: Objective #4","1","22:33:09","22:33:16",
Bot28,"InternalError_",hard,4,Completed,"Railway Stashes","Railway Stashes: Objective #1","1","22:33:21","22:33:44",
Bot28,"InternalError_",hard,4,Completed,"Railway Stashes","Railway Stashes: Objective #2","1","22:33:49","22:34:16",
Bot28,"InternalError_",hard,4,Completed,"Railway Stashes","Railway Stashes: Objective #3","1","22:34:21","22:34:52",
Bot28,"InternalError_",hard,4,Completed,"Railway Stashes","Railway Stashes: Objective #4","1","22:34:57","22:35:47",
Bot28,"InternalError_",hard,4,Completed,"Railway Stashes","Railway Stashes: Objective #5","1","22:35:52","22:36:43",
Bot28,"InternalError_",hard,4,Completed,"IDEA Office","IDEA Office: Objective #1","2","22:36:48","22:38:42",
Bot28,"InternalError_",hard,4,Completed,"IDEA Office","IDEA Office: Objective #3","1","22:38:47","22:39:05",
Bot28,"InternalError_",hard,4,Failed,"IDEA Office","IDEA Office: Objective #2","3","22:39:10","22:47:40",
Bot28,"InternalError_",hard,4,Failed,"IDEA Registers","IDEA Registers: Objective #1","1","22:47:45","22:51:25",
Bot29,"Bingus",hard,21,Completed,"Big Sale","Zone place_SALE_03_TREND","1","22:30:32","22:52:41",
Bot29,"Bingus",hard,21,Completed,"Big Sale","Zone place_SALE_03_DINO","1","22:52:46","22:53:04",
Bot29,"Bingus",hard,21,Completed,"Big Sale","Zone place_SALE_03_KOSTIN","1","22:53:09","22:53:33",
Bot29,"Bingus",hard,21,Completed,"Big Sale","Zone place_SALE_03_AVOKADO","1","22:53:38","22:55:07",
Bot29,"Bingus",hard,21,Completed,"Big Sale","Zone place_SALE_03_TOPBRAND","1","22:55:12","22:55:49",
Bot29,"Bingus",hard,21,Failed,"ULTRA Medical Storage","ULTRA Medical Storage: Objective #1","1","22:55:54","22:56:21",
Bot29,"Bingus",hard,21,Failed,"KIBA","KIBA: Objective #1","1","22:56:26","22:57:00",
Bot29,"Bingus",hard,21,Completed,"DOM","DOM: Objective #5","1","22:57:05","22:58:53",
Bot29,"Bingus",hard,21,Completed,"DOM","DOM: Objective #1","1","22:58:58","22:59:36",
Bot29,"Bingus",hard,21,Completed,"DOM","DOM: Objective #3","1","22:59:41","22:59:48",
Bot29,"Bingus",hard,21,Completed,"DOM","DOM: Objective #4","1","22:59:53","22:59:59",
Bot29,"Bingus",hard,21,Failed,"DOM","DOM: Objective #2","1","23:00:04","23:00:10",
Bot34,"BrandoTheDev",hard,21,Failed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_1","1","22:30:36","22:30:50",
Bot34,"BrandoTheDev",hard,21,Failed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_3","1","22:30:55","22:37:23",
Bot35,"BaddestDragon",hard,11,Failed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #1","1","22:30:38","22:30:44",
Bot35,"BaddestDragon",hard,11,Failed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #2","1","22:30:49","22:33:49",
Bot36,"Archy",hard,12,Archived,"IDEA North Bus","IDEA North Bus: Objective #1","1","22:30:39","22:30:53",
Bot36,"Archy",hard,12,Completed,"Power Station Switch","Power Station Switch: Objective #1","2","22:30:58","22:32:24",
Bot36,"Archy",hard,12,Completed,"Power Station","Power Station: Objective #1","3","22:32:29","22:33:39",
Bot36,"Archy",hard,12,Completed,"Power Station","Power Station: Objective #2","2","22:33:44","22:36:19",
Bot36,"Archy",hard,12,Completed,"East Wall Container","East Wall Container: Objective #1","1","22:36:24","22:37:13",
Bot36,"Archy",hard,12,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #6","1","22:37:18","22:39:27",
Bot36,"Archy",hard,12,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #7","1","22:39:32","22:39:43",
Bot36,"Archy",hard,12,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #5","1","22:39:48","22:40:52",
Bot36,"Archy",hard,12,Failed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #3","1","22:40:57","22:41:28",
Bot37,"Snofielf",hard,18,Completed,"Database - Part 1","Item IDEA cargo manifests","1","22:30:40","22:42:58",
Bot37,"Snofielf",hard,18,Failed,"Database - Part 1","Item Goshan cargo manifests","1","22:43:03","22:43:54",
Bot37,"Snofielf",hard,18,Completed,"Database - Part 1","Item OLI cargo manifests","1","22:44:00","22:47:12",
Bot37,"Snofielf",hard,18,Failed,"OLI Mall Entrance","OLI Mall Entrance: Objective #2","1","22:47:17","22:48:33",
Bot38,"GeorgRavioli",hard,25,Failed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_1","1","22:30:40","22:32:39",
Bot39,"Sanote",hard,19,Failed,"Big Sale","Zone place_SALE_03_AVOKADO","1","22:30:44","22:30:52",
Bot67,"Арни Пекуш (Stealthsuit)",normal,1,Failed,"Goshan Automotive Section","Goshan Automotive Section: Objective #1","1","22:52:25","22:57:44",
