Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot116,"Platinum",hard,19,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_check_12","1","00:19:47","00:27:17",
Bot117,"Lua",hard,21,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_check_12","1","00:19:47","00:25:42",
Bot124,"Doge",hard,24,Failed,"A Fuel Matter","Zone baraholshik_fuel_area_2","1","00:20:18","00:21:44",
Bot126,"jiblet",hard,22,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_mark_13","1","00:20:37","00:22:33",
Bot126,"jiblet",hard,22,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_check_13","1","00:22:38","00:25:20",
Bot126,"jiblet",hard,22,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_mark_12","1","00:25:25","00:34:35",
Bot126,"jiblet",hard,22,Failed,"Disease History","Item Medical record #1","1","00:28:24","00:34:35",
Bot127,"MadDutch",hard,1,Failed,"Command Center","Command Center: Objective #8","1","00:20:41","00:21:00",
Bot128,"Extrenz Arnautov",hard,17,Failed,"Classified Technologies","Item T-90M Commander Control Panel","1","00:20:43","00:22:09",
Bot129,"AshleyShcaefferBMW",hard,9,Failed,"Black Pawn","Black Pawn: Objective #9","1","00:20:44","00:21:23",
Bot130,"7 TO 14 FERAL HOGS",hard,26,Failed,"The Bunker - Part 2","Zone prapor_025_area_1","1","00:20:51","00:31:10",
Bot131,"nidhoeggr",hard,33,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_check_2","1","00:20:54","00:41:08",
Bot151,"Виктор ПХП (MoxoPixel)",normal,1,Completed,"D2 Switch","D2 Switch: Objective #1","3","00:36:34","00:36:56",
Bot151,"Виктор ПХП (MoxoPixel)",normal,1,Completed,"Command Center","Command Center: Objective #6","2","00:37:01","00:38:25",
Bot151,"Виктор ПХП (MoxoPixel)",normal,1,Failed,"Command Center","Command Center: Objective #8","1","00:38:30","00:39:49",
Bot151,"Виктор ПХП (MoxoPixel)",normal,1,Failed,"Command Center","Command Center: Objective #7","1","00:39:54","00:40:15",
Bot151,"Виктор ПХП (MoxoPixel)",normal,1,Completed,"Command Center","Command Center: Objective #3","3","00:40:20","00:42:03",
Bot151,"Виктор ПХП (MoxoPixel)",normal,1,Failed,"Command Center","Command Center: Objective #9","1","00:42:08","00:42:33",
Bot161,"Филат Резолв (DjLang)",normal,1,Completed,"Command Center","Command Center: Objective #1","1","00:43:20","00:44:02",
Bot161,"Филат Резолв (DjLang)",normal,1,Completed,"Command Center","Command Center: Objective #2","1","00:44:07","00:44:53",
Bot161,"Филат Резолв (DjLang)",normal,1,Completed,"Command Center","Command Center: Objective #3","3","00:44:58","00:45:16",
Bot161,"Филат Резолв (DjLang)",normal,1,Failed,"Command Center","Command Center: Objective #9","1","00:45:22","00:45:32",
Bot162,"Рауль Сынуля (hughz001)",normal,1,Completed,"Helicopter Platform Crawl Space","Helicopter Platform Crawl Space: Objective #1","1","00:43:25","00:43:59",
Bot162,"Рауль Сынуля (hughz001)",normal,1,Completed,"Command Center","Command Center: Objective #2","1","00:44:04","00:44:42",
Bot162,"Рауль Сынуля (hughz001)",normal,1,Failed,"Command Center","Command Center: Objective #4","3","00:44:47","00:46:50",
Bot164,"Санёк Копченый (skitles55)",normal,1,Failed,"D2 from Dome","D2 from Dome: Objective #2","1","00:47:11","00:47:29",
Bot164,"Санёк Копченый (skitles55)",normal,1,Failed,"D2 from Dome","D2 from Dome: Objective #1","1","00:47:34","00:47:48",
Bot164,"Санёк Копченый (skitles55)",normal,1,Failed,"D2 from Dome","D2 from Dome: Objective #3","1","00:47:53","00:48:18",
Bot164,"Санёк Копченый (skitles55)",normal,1,Active,"Hermetic Door Switch","Hermetic Door Switch: Objective #1","1","00:48:23","N/A",
