Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot89,"Lua",hard,7,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","19:58:08","19:58:26",
Bot89,"Lua",hard,7,Failed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","19:58:31","19:58:50",
Bot90,"SlejmUr",hard,13,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","19:58:09","19:59:46",
Bot90,"SlejmUr",hard,13,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","19:59:51","20:00:12",
Bot90,"SlejmUr",hard,13,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","20:00:17","20:00:40",
Bot90,"SlejmUr",hard,13,Failed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","20:00:45","20:01:17",
Bot90,"SlejmUr",hard,13,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","20:01:22","20:03:07",
Bot90,"SlejmUr",hard,13,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #1","1","20:03:12","20:03:32",
Bot90,"SlejmUr",hard,13,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","2","20:03:37","20:04:21",
Bot90,"SlejmUr",hard,13,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","20:04:26","20:07:57",
Bot91,"toaddsworth",hard,2,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","19:58:10","19:58:11",
Bot91,"toaddsworth",hard,2,Failed,"Underground North","Underground North: Objective #3","1","19:58:16","19:58:50",
Bot91,"toaddsworth",hard,2,Completed,"Underground North","Underground North: Objective #5","1","19:58:55","20:04:23",
Bot91,"toaddsworth",hard,2,Failed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","20:04:28","20:05:20",
Bot91,"toaddsworth",hard,2,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","20:05:25","20:09:14",
Bot92,"ChiNoel",hard,16,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","19:58:11","20:01:42",
Bot93,"OutsiderH",hard,8,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","19:58:12","19:58:35",
Bot93,"OutsiderH",hard,8,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","19:58:40","19:59:10",
Bot94,"Baliston",hard,1,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","19:58:13","20:06:37",
Bot95,"Pettan",hard,22,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","19:58:14","20:02:59",
Bot95,"Pettan",hard,22,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","20:03:04","20:08:51",
Bot96,"nidhoeggr",hard,5,Failed,"Capital Insight Stairwell Camping","Capital Insight Stairwell Camping: Objective #1","1","19:58:15","20:14:03",
Bot118,"Гит Вдовец (Dueleus)",normal,1,Completed,"Kyshperski","Kyshperski: Objective #3","1","20:12:15","20:12:25",
Bot118,"Гит Вдовец (Dueleus)",normal,1,Pending,"Kyshperski","Kyshperski: Objective #4","1","20:12:30","N/A",
