Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot89,"Mattdokn",hard,27,Failed,"Wet Job - Part 5","Item Working hard drive","1","16:30:05","16:31:22",
Bot89,"Mattdokn",hard,27,Completed,"Cargo X - Part 2","Item Secure Folder 0013","1","16:31:27","16:31:54",
Bot89,"Mattdokn",hard,27,Completed,"Rigged Game","Zone skier_022_area_1","2","16:31:59","16:34:16",
Bot89,"Mattdokn",hard,27,Failed,"Rigged Game","Zone skier_022_area_2","1","16:34:22","16:36:42",
Bot90,"Lave",hard,18,Failed,"Cargo X - Part 1","Item Toughbook reinforced laptop","1","16:30:06","16:31:09",
Bot90,"Lave",hard,18,Failed,"Signal - Part 1","Zone place_SIGNAL_01_1","1","16:31:14","16:31:46",
Bot90,"Lave",hard,18,Failed,"Signal - Part 1","Zone place_SIGNAL_01_2","1","16:31:51","16:32:50",
Bot91,"skitles55",hard,27,Failed,"Nothing Fishy About This","Zone q14_11_jeep","1","16:30:06","16:30:19",
Bot91,"skitles55",hard,27,Failed,"Signal - Part 1","Zone place_SIGNAL_01_1","1","16:30:24","16:35:25",
Bot91,"skitles55",hard,27,Failed,"Signal - Part 1","Zone place_SIGNAL_01_2","1","16:35:30","16:36:06",
Bot92,"LunnayaLuna",hard,21,Failed,"Signal - Part 3","Zone place_SIGNAL_03_1","1","16:30:09","16:31:39",
Bot93,"papershredder432",hard,23,Completed,"Humanitarian Supplies","Zone place_peacemaker_005_N2","1","16:30:10","16:32:53",
Bot93,"papershredder432",hard,23,Completed,"Humanitarian Supplies","Zone place_peacemaker_005_N1","1","16:32:58","16:37:58",
Bot93,"papershredder432",hard,23,Completed,"Chemistry Closet","Zone place_meh_sanitar_room","1","16:38:03","16:39:19",
Bot93,"papershredder432",hard,23,Completed,"Spa Tour - Part 2","Zone place_peacemaker_008_2_N2","1","16:39:24","16:40:06",
Bot93,"papershredder432",hard,23,Completed,"Anesthesia","Zone prapor_022_area_1","1","16:40:11","16:40:30",
Bot112,"Yakhmet",hard,27,Failed,"Eagle Eye","Zone place_peacemaker_004_N1","1","16:30:58","16:31:30",
Bot112,"Yakhmet",hard,27,Failed,"Eagle Eye","Item UAV SAS disk #1","1","16:31:35","16:33:30",
Bot112,"Yakhmet",hard,27,Failed,"Eagle Eye","Item UAV SAS disk #2","1","16:33:35","16:33:37",
Bot112,"Yakhmet",hard,27,Failed,"Signal - Part 1","Zone place_SIGNAL_01_2","1","16:33:42","16:33:45",
Bot112,"Yakhmet",hard,27,Failed,"Signal - Part 1","Zone place_SIGNAL_01_1","1","16:33:50","16:33:52",
Bot112,"Yakhmet",hard,27,Failed,"Signal - Part 3","Zone place_SIGNAL_03_3","1","16:33:57","16:33:57",
Bot112,"Yakhmet",hard,27,Failed,"Signal - Part 3","Zone place_SIGNAL_03_1","1","16:34:02","16:34:03",
Bot112,"Yakhmet",hard,27,Failed,"Signal - Part 3","Zone place_SIGNAL_03_2","1","16:34:08","16:34:10",
Bot113,"archon0ne",hard,24,Completed,"Humanitarian Supplies","Zone place_peacemaker_005_N2","1","16:31:05","16:35:51",
Bot113,"archon0ne",hard,24,Failed,"Humanitarian Supplies","Zone place_peacemaker_005_N1","1","16:35:56","16:38:09",
