Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot21,"itsMickle",hard,3,Failed,"Finance Building","Finance Building: Objective #1","1","14:42:53","14:43:07",
Bot21,"itsMickle",hard,3,Completed,"Finance Building","Finance Building: Objective #3","1","14:43:12","14:43:54",
Bot21,"itsMickle",hard,3,Completed,"Finance Building","Finance Building: Objective #2","1","14:43:59","14:46:48",
Bot21,"itsMickle",hard,3,Failed,"Finance Building","Finance Building: Objective #4","1","14:46:53","14:47:32",
Bot22,"Big Chungus",easy,21,Failed,"Glory to CPSU - Part 1","Zone quest_zone_c6_kpss","1","14:42:53","14:46:46",
Bot22,"Big Chungus",easy,21,Failed,"The Door","Zone quest_zone_hide_sillent2","1","14:46:51","14:52:14",
Bot28,"Amands2Mello",easy,8,Failed,"Primorksy 46","Primorksy 46: Objective #4","1","14:43:00","14:47:16",
Bot28,"Amands2Mello",easy,8,Failed,"Primorksy 46","Primorksy 46: Objective #5","1","14:47:22","14:47:38",
Bot28,"Amands2Mello",easy,8,Failed,"Primorksy 46","Primorksy 46: Objective #8","1","14:47:43","14:47:43",
Bot28,"Amands2Mello",easy,8,Failed,"Primorksy 46","Primorksy 46: Objective #2","1","14:47:48","14:47:48",
Bot28,"Amands2Mello",easy,8,Failed,"Primorksy 46","Primorksy 46: Objective #3","1","14:47:53","14:47:53",
Bot28,"Amands2Mello",easy,8,Failed,"Primorksy 46","Primorksy 46: Objective #6","1","14:47:59","14:47:59",
Bot28,"Amands2Mello",easy,8,Failed,"Primorksy 46","Primorksy 46: Objective #1","1","14:48:04","14:48:04",
Bot28,"Amands2Mello",easy,8,Failed,"Primorksy 46","Primorksy 46: Objective #7","1","14:48:09","14:48:09",
Bot29,"RaiRaiTheRaichu",easy,7,Failed,"Primorksy 46","Primorksy 46: Objective #4","1","14:43:00","14:51:38",
Bot37,"Никита Зебра (gaylatea)",normal,1,Failed,"Malevicha 2","Malevicha 2: Objective #1","1","14:51:19","14:51:39",
Bot37,"Никита Зебра (gaylatea)",normal,1,Failed,"Malevicha 2","Malevicha 2: Objective #2","1","14:51:44","14:52:14",
Bot37,"Никита Зебра (gaylatea)",normal,1,Archived,"Petersen Center","Petersen Center: Objective #2","1","14:52:19","14:52:53",
Bot37,"Никита Зебра (gaylatea)",normal,1,Archived,"Petersen Center","Petersen Center: Objective #3","4","14:52:58","14:55:10",
Bot37,"Никита Зебра (gaylatea)",normal,1,Archived,"Petersen Center","Petersen Center: Objective #1","1","14:55:15","14:56:09",
Bot37,"Никита Зебра (gaylatea)",normal,1,Archived,"Petersen Center","Petersen Center: Objective #4","1","14:56:14","14:56:35",
Bot37,"Никита Зебра (gaylatea)",normal,1,Failed,"Cinema Hideout","Cinema Hideout: Objective #2","1","14:56:40","14:57:06",
Bot37,"Никита Зебра (gaylatea)",normal,1,Completed,"Cinema Hideout","Cinema Hideout: Objective #1","1","14:57:11","15:01:15",
Bot37,"Никита Зебра (gaylatea)",normal,1,Failed,"Dostoevsky Restaurant","Dostoevsky Restaurant: Objective #1","1","15:01:20","15:02:13",
Bot37,"Никита Зебра (gaylatea)",normal,1,Failed,"Dostoevsky Restaurant","Dostoevsky Restaurant: Objective #3","1","15:02:18","15:02:47",
Bot37,"Никита Зебра (gaylatea)",normal,1,Failed,"Dostoevsky Restaurant","Dostoevsky Restaurant: Objective #2","1","15:02:53","15:03:13",
Bot37,"Никита Зебра (gaylatea)",normal,1,Failed,"Finance Building","Finance Building: Objective #1","1","15:03:18","15:03:33",
Bot37,"Никита Зебра (gaylatea)",normal,1,Completed,"Finance Building","Finance Building: Objective #3","1","15:03:38","15:03:55",
Bot37,"Никита Зебра (gaylatea)",normal,1,Failed,"Finance Building","Finance Building: Objective #4","1","15:04:00","15:04:11",
Bot37,"Никита Зебра (gaylatea)",normal,1,Completed,"Finance Building","Finance Building: Objective #2","1","15:04:16","15:04:32",
Bot37,"Никита Зебра (gaylatea)",normal,1,Completed,"Car Lot Office","Car Lot Office: Objective #1","2","15:04:38","15:05:14",
Bot37,"Никита Зебра (gaylatea)",normal,1,Completed,"Petersen Center","Petersen Center: Objective #1","1","15:05:19","15:06:01",
Bot37,"Никита Зебра (gaylatea)",normal,1,Completed,"ALCO-Point","ALCO-Point: Objective #4","1","15:06:06","15:06:35",
Bot37,"Никита Зебра (gaylatea)",normal,1,Completed,"ALCO-Point","ALCO-Point: Objective #1","1","15:06:40","15:06:52",
Bot37,"Никита Зебра (gaylatea)",normal,1,Active,"ALCO-Point","ALCO-Point: Objective #3","1","15:06:58","N/A",
