Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot207,"LuckyCharmT",hard,22,Completed,"Steady Signal","Zone q14_8_1","1","21:53:27","21:54:15",
Bot207,"LuckyCharmT",hard,22,Completed,"Steady Signal","Zone q14_8_3","1","21:54:20","21:56:32",
Bot207,"LuckyCharmT",hard,22,Completed,"Steady Signal","Zone q14_8_2","1","21:56:37","21:58:18",
Bot207,"LuckyCharmT",hard,22,Completed,"Steady Signal","Zone q14_8_5","1","21:58:23","22:02:41",
Bot207,"LuckyCharmT",hard,22,Completed,"Scav Base","Scav Base: Objective #2","4","22:02:46","22:04:41",
Bot207,"LuckyCharmT",hard,22,Completed,"Scav Base","Scav Base: Objective #3","1","22:04:46","22:04:55",
Bot207,"LuckyCharmT",hard,22,Completed,"Scav Base","Scav Base: Objective #4","2","22:05:01","22:05:29",
Bot207,"LuckyCharmT",hard,22,Failed,"Scav Base","Scav Base: Objective #1","4","22:05:34","22:06:31",
Bot207,"LuckyCharmT",hard,22,Failed,"Supply Plans","Item Secure Folder 0052","1","22:06:36","22:09:06",
Bot209,"职业玩家",hard,6,Completed,"Old Sawmill","Old Sawmill: Objective #1","1","21:53:33","21:55:18",
Bot209,"职业玩家",hard,6,Completed,"Old Sawmill","Old Sawmill: Objective #3","1","21:55:23","21:55:52",
Bot209,"职业玩家",hard,6,Completed,"Old Sawmill","Old Sawmill: Objective #2","2","21:55:57","21:57:13",
Bot209,"职业玩家",hard,6,Completed,"Old Sawmill","Old Sawmill: Objective #4","3","21:57:18","21:58:29",
Bot209,"职业玩家",hard,6,Completed,"Old Sawmill","Old Sawmill: Objective #5","1","21:58:34","21:59:13",
Bot209,"职业玩家",hard,6,Completed,"Scav Town","Scav Town: Objective #2","1","21:59:18","22:00:45",
Bot209,"职业玩家",hard,6,Completed,"Scav Town","Scav Town: Objective #1","3","22:00:50","22:02:25",
Bot209,"职业玩家",hard,6,Completed,"Scav Town","Scav Town: Objective #5","3","22:02:30","22:03:36",
Bot209,"职业玩家",hard,6,Completed,"Scav Town","Scav Town: Objective #3","2","22:03:41","22:04:04",
Bot209,"职业玩家",hard,6,Completed,"Scav Town","Scav Town: Objective #4","2","22:04:09","22:04:40",
Bot209,"职业玩家",hard,6,Completed,"VEX Beach","VEX Beach: Objective #1","2","22:04:46","22:06:07",
Bot209,"职业玩家",hard,6,Failed,"The Survivalist Path - Thrifty","Zone huntsman_005_1","2","22:06:12","22:10:50",
Bot210,"NORVINSK_EVANGELION",hard,12,Failed,"Scav Base","Scav Base: Objective #2","1","21:53:33","22:10:16",
Bot211,"pplatinumssEU",hard,28,Completed,"Chumming","Zone place_skier_12_3","2","21:53:35","21:58:14",
Bot211,"pplatinumssEU",hard,28,Failed,"Lend-Lease - Part 1","Item Single-axis Fiber Optic Gyroscope #1","1","21:58:19","22:01:04",
Bot212,"CWX",hard,27,Failed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","21:53:36","21:59:28",
Bot213,"ItsRenke",hard,17,Failed,"ZB-014 Inner Room","ZB-014 Inner Room: Objective #1","1","21:53:37","21:54:51",
Bot213,"ItsRenke",hard,17,Completed,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","21:54:56","21:56:36",
Bot213,"ItsRenke",hard,17,Completed,"Gratitude","Zone place_THX_15","2","21:56:41","21:59:30",
Bot213,"ItsRenke",hard,17,Completed,"Sawmill Patrol","Sawmill Patrol: Objective #3","2","21:59:35","22:02:10",
Bot213,"ItsRenke",hard,17,Completed,"Sawmill Patrol","Sawmill Patrol: Objective #5","2","22:02:15","22:04:09",
Bot213,"ItsRenke",hard,17,Completed,"Sawmill Patrol","Sawmill Patrol: Objective #4","2","22:04:14","22:06:34",
Bot213,"ItsRenke",hard,17,Failed,"Sawmill Patrol","Sawmill Patrol: Objective #2","2","22:06:39","22:07:34",
Bot214,"PoppleO",hard,26,Completed,"Informed Means Armed","Zone place_skier_11_1","2","21:53:38","22:10:38",
Bot214,"PoppleO",hard,26,Completed,"Sawmill Patrol","Sawmill Patrol: Objective #3","2","22:10:43","22:12:59",
Bot214,"PoppleO",hard,26,Completed,"Sawmill Patrol","Sawmill Patrol: Objective #5","2","22:13:04","22:15:05",
Bot214,"PoppleO",hard,26,Pending,"Sawmill Patrol","Sawmill Patrol: Objective #4","1","22:15:10","N/A",
Bot223,"野猪",hard,13,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #1","1","21:54:28","21:54:59",
Bot223,"野猪",hard,13,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #3","1","21:55:05","21:56:20",
Bot223,"野猪",hard,13,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #2","1","21:56:25","21:56:50",
Bot223,"野猪",hard,13,Completed,"Supply Plans","Item Secure Folder 0052","1","21:56:55","22:01:54",
Bot223,"野猪",hard,13,Completed,"Sawmill Marked Circle","Sawmill Marked Circle: Objective #1","1","22:01:59","22:02:43",
Bot223,"野猪",hard,13,Completed,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","22:02:48","22:05:53",
Bot223,"野猪",hard,13,Archived,"Sawmill Checkpoint","Sawmill Checkpoint: Objective #1","4","22:05:58","22:08:28",
Bot223,"野猪",hard,13,Completed,"Search Mission","Zone pr_scout_base","1","22:08:33","22:10:54",
Bot223,"野猪",hard,13,Completed,"Search Mission","Zone pr_scout_col","1","22:10:59","22:12:16",
Bot223,"野猪",hard,13,Completed,"USEC Camp North","USEC Camp North: Objective #1","3","22:12:21","22:13:57",
Bot223,"野猪",hard,13,Completed,"USEC Camp North","USEC Camp North: Objective #2","2","22:14:02","22:14:33",
Bot223,"野猪",hard,13,Completed,"USEC Camp North","USEC Camp North: Objective #3","1","22:14:38","22:14:52",
Bot223,"野猪",hard,13,Completed,"USEC Camp North","USEC Camp North: Objective #4","2","22:14:57","22:15:32",
Bot223,"野猪",hard,13,Active,"USEC Camp South","USEC Camp South: Objective #1","1","22:15:37","N/A",
Bot224,"skitles55",hard,2,Pending,"Scav Town","Scav Town: Objective #5","1","21:54:54","N/A",
Bot229,"Фёдор Базука (alexkarpen)",normal,1,Completed,"Scav Base","Scav Base: Objective #2","4","22:04:42","22:07:20",
Bot229,"Фёдор Базука (alexkarpen)",normal,1,Completed,"Scav Base","Scav Base: Objective #3","1","22:07:25","22:07:54",
Bot229,"Фёдор Базука (alexkarpen)",normal,1,Completed,"Scav Base","Scav Base: Objective #4","2","22:07:59","22:08:33",
Bot229,"Фёдор Базука (alexkarpen)",normal,1,Failed,"Scav Base","Scav Base: Objective #1","4","22:08:38","22:09:31",
Bot229,"Фёдор Базука (alexkarpen)",normal,1,Failed,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","22:09:36","22:10:49",
