Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Gizzy",hard,35,Failed,"Bullshit","Item Flash drive with fake info","1","13:54:35","13:55:49",
Bot2,"Gizzy",hard,35,Active,"Bullshit","Zone Q019_3","1","13:55:54","N/A",
Bot1,"Skeeze",hard,36,Completed,"Big Red","Big Red: Objective #2","1","13:54:35","13:55:15",
Bot1,"Skeeze",hard,36,Failed,"Big Red","Big Red: Objective #3","1","13:55:20","13:55:32",
Bot5,"3371",hard,32,Completed,"Informed Means Armed","Zone place_skier_11_2","2","13:54:37","13:55:26",
Bot5,"3371",hard,32,Completed,"Dorms Camp 1","Dorms Camp 1: Objective #1","1","13:55:31","13:55:50",
Bot11,"igorir3",hard,7,Active,"BP Depot","Zone fuel1","1","13:54:46","N/A",
Bot12,"DanW",hard,21,Pending,"Tigr Safari","Zone place_peacemaker_002_N2","1","13:54:47","N/A",
Bot14,"Володарчик Пакетик (Kilgor616)",normal,1,Completed,"Dorms Camp 1","Dorms Camp 1: Objective #1","1","13:54:52","13:55:05",
Bot15,"OXIdiezd",hard,22,Failed,"Farming - Part 3","Item Package of graphics cards","1","13:55:03","13:55:16",
Bot15,"OXIdiezd",hard,22,Completed,"Big Red","Big Red: Objective #5","1","13:55:21","13:59:15",
Bot15,"OXIdiezd",hard,22,Completed,"Big Red","Big Red: Objective #4","1","13:59:20","13:59:50",
Bot15,"OXIdiezd",hard,22,Active,"Big Red","Big Red: Objective #1","1","13:59:56","N/A",
Bot17,"Arys",hard,26,Pending,"Bullshit","Item Flash drive with fake info","1","13:55:03","N/A",
Bot16,"Andrudis",hard,21,Failed,"Farming - Part 3","Item Package of graphics cards","1","13:55:03","13:55:15",
